"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13765","test_login_validation_for_invalid_credentials[-test-Epic sadface: Username is required]","tests","2026-06-12","passed","2026-06-12","TestLogin","test_login","",""
"","13671","test_login_validation_from_error_data_json[data1]","tests","2026-06-12","passed","2026-06-12","TestLogin","test_login","",""
"","50292","test_add_multiple_products_to_cart","tests","2026-06-12","passed","2026-06-12","TestHomePage","test_inventory","",""
"","20918","test_login_with_valid_user_types_from_json[data0]","tests","2026-06-12","passed","2026-06-12","TestLogin","test_login","",""
"","13658","test_login_validation_from_error_data_json[data0]","tests","2026-06-12","passed","2026-06-12","TestLogin","test_login","",""
"","20196","test_product_search","tests","2026-06-12","passed","2026-06-12","TestHomePage","test_inventory","",""
"","20963","test_login_with_valid_user_types_from_json[data1]","tests","2026-06-12","passed","2026-06-12","TestLogin","test_login","",""
"","13527","test_login_validation_for_invalid_credentials[standard_user1-secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests","2026-06-12","passed","2026-06-12","TestLogin","test_login","",""
"","30252","test_sort_poduct","tests","2026-06-12","passed","2026-06-12","TestHomePage","test_inventory","",""
"","13488","test_login_validation_for_invalid_credentials[standard_user--Epic sadface: Password is required]","tests","2026-06-12","passed","2026-06-12","TestLogin","test_login","",""
"","15670","test_login_with_invalid_username","tests","2026-06-12","passed","2026-06-12","TestLogin","test_login","",""
"","65753","test_checkout_flow","tests","2026-06-12","passed","2026-06-12","TestHomePage","test_inventory","",""
"Verify that a valid user can login successfully","20964","Verify successful login","tests","2026-06-12","passed","2026-06-12","TestLogin","test_login","",""
"","20903","test_login_with_valid_credentials[standard_user-secret_sauce]","tests","2026-06-15","passed","2026-06-15","TestLogin","test_login","",""
"","19541","test_login_with_valid_credentials[visual_user-secret_sauce]","tests","2026-06-15","passed","2026-06-15","TestLogin","test_login","",""
