"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verify multiple products can be added to the cart.

        Steps:
        1. Validate cart is initially empty.
        2. Add multiple products.
        3. Verify cart badge count is updated.

        Expected Result:
        Cart badge count should match the number of added products.
        ","10401","test_add_multiple_products_to_cart","tests","2026-09-21","passed","2026-09-21","TestHomePage","test_inventory","",""
"Verify that a valid user can login successfully","1167","Verify successful login","tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"
        Verify that multiple products display the correct details using
        JSON-based test data.

        Test Steps:
        1. Navigate to the inventory page.
        2. Wait until the product list is loaded.
        3. Read product information from the JSON file.
        4. Open the corresponding product details page.
        5. Verify the displayed product name.
        6. Add the product to the shopping cart.
        7. Verify that the 'Remove' button is displayed.

        Test Data:
        - Product name
        - Product description
        - Product price

        Expected Result:
        - Each product details page displays the correct product information.
        - The selected product is successfully added to the cart.
        - The 'Remove' button is displayed after adding the product.
        ","3356","test_product_details_from_json[products0]","tests","2026-09-21","passed","2026-09-21","TestProductDetails","test_product_details","",""
"","6","test_execute_command","tests.agents","2026-09-21","passed","2026-09-21","","test_execution_agent","",""
"
        Verify that multiple products display the correct details using
        JSON-based test data.

        Test Steps:
        1. Navigate to the inventory page.
        2. Wait until the product list is loaded.
        3. Read product information from the JSON file.
        4. Open the corresponding product details page.
        5. Verify the displayed product name.
        6. Add the product to the shopping cart.
        7. Verify that the 'Remove' button is displayed.

        Test Data:
        - Product name
        - Product description
        - Product price

        Expected Result:
        - Each product details page displays the correct product information.
        - The selected product is successfully added to the cart.
        - The 'Remove' button is displayed after adding the product.
        ","3351","test_product_details_from_json[products1]","tests","2026-09-21","passed","2026-09-21","TestProductDetails","test_product_details","",""
"","20516","test_remove_all_items_from_cart","tests","2026-09-21","passed","2026-09-21","TestCartPage","test_cart","",""
"
        Verify validation messages are displayed when mandatory
        checkout fields are left blank.

        Test Scenarios:
            - Missing first name
            - Missing last name
            - Missing postal code

        Expected Result:
            Appropriate validation message is displayed for each
            missing required field.
        ","322","test_checkout_details_validation[a--1-Error: Last Name is required]","tests","2026-09-21","passed","2026-09-21","TestCheckoutPage","test_checkout","",""
"
        Verify validation messages for invalid login inputs.

        Args:
            driver: WebDriver fixture.
            username: Username to enter (may be empty).
            password: Password to enter (may be empty).
            error_message: Expected error text for this combination.

        Scenarios:
            - Unknown username with valid password
            - Valid username with empty password
            - Empty username with any password

        Expected Result:
            Displayed error message matches error_message exactly.
        ","482","test_login_validation_for_invalid_credentials[standard_user--Epic sadface: Password is required]","tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"Verify that users with valid credentials can log in successfully and are redirected to the inventory page.","1187","Verify login with valid user credentials","tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"Verify that a valid user can login successfully","1171","Verify successful login","tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"Verify that a valid user can login successfully","1202","Verify successful login","tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"Verify that a valid user can login successfully","1182","Verify successful login","tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"
        Verify validation messages are displayed when mandatory
        checkout fields are left blank.

        Test Scenarios:
            - Missing first name
            - Missing last name
            - Missing postal code

        Expected Result:
            Appropriate validation message is displayed for each
            missing required field.
        ","326","test_checkout_details_validation[a-b--Error: Postal Code is required]","tests","2026-09-21","passed","2026-09-21","TestCheckoutPage","test_checkout","",""
"
        Verify that a user can successfully complete the checkout process.

        Test Steps:
            1. Verify cart is initially empty.
            2. Add multiple products to the cart.
            3. Navigate to the cart page.
            4. Proceed to checkout.
            5. Enter valid customer information.
            6. Verify calculated product total matches displayed total.
            7. Complete the order.
            8. Verify order confirmation message.

        Expected Result:
            - Cart count updates correctly.
            - Product total calculation is accurate.
            - Order is placed successfully.
            - Confirmation message is displayed.
        ","986","test_checkout_flow","tests","2026-09-21","passed","2026-09-21","TestCheckoutPage","test_checkout","",""
"
        Verify validation messages for invalid login inputs.

        Args:
            driver: WebDriver fixture.
            username: Username to enter (may be empty).
            password: Password to enter (may be empty).
            error_message: Expected error text for this combination.

        Scenarios:
            - Unknown username with valid password
            - Valid username with empty password
            - Empty username with any password

        Expected Result:
            Displayed error message matches error_message exactly.
        ","527","test_login_validation_for_invalid_credentials[standard_user1-secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"","76","test_removing_item_from_cart","tests","2026-09-21","passed","2026-09-21","TestCartPage","test_cart","",""
"
        Verify that products can be sorted correctly.

        Steps:
        1. Wait for inventory items to load.
        2. Select sorting option (Name Z to A).
        3. Validate products are displayed in the expected order.

        Expected Result:
        Products should be sorted in descending alphabetical order.
        ","398","test_sort_product","tests","2026-09-21","passed","2026-09-21","TestHomePage","test_inventory","",""
"
        Verify login validation messages using data-driven JSON test data.

        Args:
            driver: WebDriver fixture.
            user_data: Dictionary with ""username"", ""password"" and
                ""error_message"" keys from error_messages.json.

        Expected Result:
            Displayed error message matches the expected message
            from the test data.
        ","524","test_login_validation_from_error_data_json[user_data0]","tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"
        Verify validation messages are displayed when mandatory
        checkout fields are left blank.

        Test Scenarios:
            - Missing first name
            - Missing last name
            - Missing postal code

        Expected Result:
            Appropriate validation message is displayed for each
            missing required field.
        ","834","test_checkout_details_validation[-a-1-Error: First Name is required]","tests","2026-09-21","passed","2026-09-21","TestCheckoutPage","test_checkout","",""
"Verify that a valid user can login successfully","1176","Verify successful login","tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"
        Verify login validation messages using data-driven JSON test data.

        Args:
            driver: WebDriver fixture.
            user_data: Dictionary with ""username"", ""password"" and
                ""error_message"" keys from error_messages.json.

        Expected Result:
            Displayed error message matches the expected message
            from the test data.
        ","525","test_login_validation_from_error_data_json[user_data1]","tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"Verify that a valid user can login successfully","1182","Verify successful login","tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"Verify that a valid user can login successfully","679","Verify successful login","tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
