"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verify that multiple products display the correct details using
        JSON-based test data.

        Test Steps:
        1. Navigate to the inventory page.
        2. Wait until the product list is loaded.
        3. Read product information from the JSON file.
        4. Open the corresponding product details page.
        5. Verify the displayed product name.
        6. Add the product to the shopping cart.
        7. Verify that the 'Remove' button is displayed.

        Test Data:
        - Product name
        - Product description
        - Product price

        Expected Result:
        - Each product details page displays the correct product information.
        - The selected product is successfully added to the cart.
        - The 'Remove' button is displayed after adding the product.
        ","3306","test_product_details_from_json[products1]","tests","2026-09-22","passed","2026-09-22","TestProductDetails","test_product_details","",""
"
        Verify multiple products can be added to the cart.

        Steps:
        1. Validate cart is initially empty.
        2. Add multiple products.
        3. Verify cart badge count is updated.

        Expected Result:
        Cart badge count should match the number of added products.
        ","10364","test_add_multiple_products_to_cart","tests","2026-09-22","passed","2026-09-22","TestHomePage","test_inventory","",""
"","10349","test_add_item_to_cart","tests","2026-09-22","passed","2026-09-22","TestCartPage","test_cart","",""
"Verify that a valid user can login successfully","651","Verify successful login","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"
        Verify login validation messages using data-driven JSON test data.

        Args:
            driver: WebDriver fixture.
            user_data: Dictionary with ""username"", ""password"" and
                ""error_message"" keys from error_messages.json.

        Expected Result:
            Displayed error message matches the expected message
            from the test data.
        ","504","test_login_validation_from_error_data_json[user_data1]","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"Verify that a valid user can login successfully","1173","Verify successful login","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"
        Verify product navigation and add-to-cart functionality.

        Steps:
        1. Wait for inventory items to load.
        2. Open a specific product.
        3. Validate product details page.
        4. Add the product to the cart.
        5. Verify the Remove button is displayed.

        Expected Result:
        Product details should match the selected product and
        the product should be added successfully to the cart.
        ","3299","test_product_search","tests","2026-09-22","passed","2026-09-22","TestHomePage","test_inventory","",""
"Verify that a valid user can login successfully","1132","Verify successful login","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"Verify that a valid user can login successfully","1139","Verify successful login","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"
        Verify validation messages for invalid login inputs.

        Args:
            driver: WebDriver fixture.
            username: Username to enter (may be empty).
            password: Password to enter (may be empty).
            error_message: Expected error text for this combination.

        Scenarios:
            - Unknown username with valid password
            - Valid username with empty password
            - Empty username with any password

        Expected Result:
            Displayed error message matches error_message exactly.
        ","481","test_login_validation_for_invalid_credentials[-test-Epic sadface: Username is required]","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"
        Verify that cart contents survive a logout/login cycle.

        Steps:
        1. Validate cart badge is initially empty.
        2. Add a product to the cart and verify the badge count updates.
        3. Navigate to the cart page and verify the item count.
        4. Log out, then log back in as the same user.
        5. Navigate to the cart page and verify the item count is
            still unchanged.

        Expected Result:
        Cart item count should remain the same across a logout/login cycle,
        confirming cart state is tied to the user's account/session rather
        than a single browser session.
        ","11342","test_cart_persists_on_relogin","tests","2026-09-22","passed","2026-09-22","TestCartPage","test_cart","",""
"
        Verify login validation messages using data-driven JSON test data.

        Args:
            driver: WebDriver fixture.
            user_data: Dictionary with ""username"", ""password"" and
                ""error_message"" keys from error_messages.json.

        Expected Result:
            Displayed error message matches the expected message
            from the test data.
        ","517","test_login_validation_from_error_data_json[user_data0]","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"Verify that a valid user can login successfully","1135","Verify successful login","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"
        Verify that multiple products display the correct details using
        JSON-based test data.

        Test Steps:
        1. Navigate to the inventory page.
        2. Wait until the product list is loaded.
        3. Read product information from the JSON file.
        4. Open the corresponding product details page.
        5. Verify the displayed product name.
        6. Add the product to the shopping cart.
        7. Verify that the 'Remove' button is displayed.

        Test Data:
        - Product name
        - Product description
        - Product price

        Expected Result:
        - Each product details page displays the correct product information.
        - The selected product is successfully added to the cart.
        - The 'Remove' button is displayed after adding the product.
        ","3319","test_product_details_from_json[products2]","tests","2026-09-22","passed","2026-09-22","TestProductDetails","test_product_details","",""
"Verify that a valid user can login successfully","1149","Verify successful login","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"
        Verify validation messages are displayed when mandatory
        checkout fields are left blank.

        Test Scenarios:
            - Missing first name
            - Missing last name
            - Missing postal code

        Expected Result:
            Appropriate validation message is displayed for each
            missing required field.
        ","275","test_checkout_details_validation[-a-1-Error: First Name is required]","tests","2026-09-22","passed","2026-09-22","TestCheckoutPage","test_checkout","",""
"
        Verify that the Product Details page displays the expected information
        for a selected product and allows the product to be added to the cart.

        Test Steps:
        1. Navigate to the inventory page.
        2. Wait for the inventory list to load.
        3. Open the 'Sauce Labs Backpack' product.
        4. Verify the displayed product name.
        5. Add the product to the shopping cart.
        6. Verify that the 'Remove' button is displayed.

        Expected Result:
        - The Product Details page displays the correct product information.
        - The product is successfully added to the cart.
        - The 'Remove' button replaces the 'Add to Cart' button.
        ","3503","test_product_details","tests","2026-09-22","passed","2026-09-22","TestProductDetails","test_product_details","",""
"","20446","test_remove_all_items_from_cart","tests","2026-09-22","passed","2026-09-22","TestCartPage","test_cart","",""
"
        Verify that a user can successfully complete the checkout process.

        Test Steps:
            1. Verify cart is initially empty.
            2. Add multiple products to the cart.
            3. Navigate to the cart page.
            4. Proceed to checkout.
            5. Enter valid customer information.
            6. Verify calculated product total matches displayed total.
            7. Complete the order.
            8. Verify order confirmation message.

        Expected Result:
            - Cart count updates correctly.
            - Product total calculation is accurate.
            - Order is placed successfully.
            - Confirmation message is displayed.
        ","436","test_checkout_flow","tests","2026-09-22","passed","2026-09-22","TestCheckoutPage","test_checkout","",""
"
        Verify multiple products can be added to the cart.

        Steps:
        1. Validate cart is initially empty.
        2. Add multiple products.
        3. Verify cart badge count is updated.

        Expected Result:
        Cart badge count should match the number of added products.
        ","0","test_add_multiple_products_to_cart","tests","2026-09-22","passed","2026-09-22","TestCartPage","test_cart","",""
"","71","test_removing_item_from_cart","tests","2026-09-22","passed","2026-09-22","TestCartPage","test_cart","",""
"Verify that users with valid credentials can log in successfully and are redirected to the inventory page.","1150","Verify login with valid user credentials","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"
        Verify that cart contents survive a browser page refresh.

        Steps:
        1. Validate cart badge is initially empty.
        2. Add a product to the cart and verify the badge count updates.
        3. Navigate to the cart page and verify the item count.
        4. Refresh the page.
        5. Verify the item count is unchanged after refresh.

        Expected Result:
            Cart item count should remain the same before and after a page
        refresh, confirming cart state is not held only in transient
        client-side JS state.
        ","10429","test_cart_persists_after_page_refresh","tests","2026-09-22","passed","2026-09-22","TestCartPage","test_cart","",""
"Verify error message is displayed on entering invalid user details","490","Verify unsuccessful login","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"
        Verify validation messages for invalid login inputs.

        Args:
            driver: WebDriver fixture.
            username: Username to enter (may be empty).
            password: Password to enter (may be empty).
            error_message: Expected error text for this combination.

        Scenarios:
            - Unknown username with valid password
            - Valid username with empty password
            - Empty username with any password

        Expected Result:
            Displayed error message matches error_message exactly.
        ","508","test_login_validation_for_invalid_credentials[standard_user--Epic sadface: Password is required]","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"
        Verify that products can be sorted correctly.

        Steps:
        1. Wait for inventory items to load.
        2. Select sorting option (Name Z to A).
        3. Validate products are displayed in the expected order.

        Expected Result:
        Products should be sorted in descending alphabetical order.
        ","307","test_sort_product","tests","2026-09-22","passed","2026-09-22","TestHomePage","test_inventory","",""
"Verify that a valid user can login successfully","1153","Verify successful login","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"","4","test_execute_command","tests.agents","2026-09-22","passed","2026-09-22","","test_execution_agent","",""
"Verify that users with valid credentials can log in successfully and are redirected to the inventory page.","1108","Verify login with valid user credentials","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
"
        Verify validation messages are displayed when mandatory
        checkout fields are left blank.

        Test Scenarios:
            - Missing first name
            - Missing last name
            - Missing postal code

        Expected Result:
            Appropriate validation message is displayed for each
            missing required field.
        ","268","test_checkout_details_validation[a-b--Error: Postal Code is required]","tests","2026-09-22","passed","2026-09-22","TestCheckoutPage","test_checkout","",""
"
        Verify validation messages are displayed when mandatory
        checkout fields are left blank.

        Test Scenarios:
            - Missing first name
            - Missing last name
            - Missing postal code

        Expected Result:
            Appropriate validation message is displayed for each
            missing required field.
        ","277","test_checkout_details_validation[a--1-Error: Last Name is required]","tests","2026-09-22","passed","2026-09-22","TestCheckoutPage","test_checkout","",""
"
        Verify that multiple products display the correct details using
        JSON-based test data.

        Test Steps:
        1. Navigate to the inventory page.
        2. Wait until the product list is loaded.
        3. Read product information from the JSON file.
        4. Open the corresponding product details page.
        5. Verify the displayed product name.
        6. Add the product to the shopping cart.
        7. Verify that the 'Remove' button is displayed.

        Test Data:
        - Product name
        - Product description
        - Product price

        Expected Result:
        - Each product details page displays the correct product information.
        - The selected product is successfully added to the cart.
        - The 'Remove' button is displayed after adding the product.
        ","3303","test_product_details_from_json[products0]","tests","2026-09-22","passed","2026-09-22","TestProductDetails","test_product_details","",""
"
        Verify validation messages for invalid login inputs.

        Args:
            driver: WebDriver fixture.
            username: Username to enter (may be empty).
            password: Password to enter (may be empty).
            error_message: Expected error text for this combination.

        Scenarios:
            - Unknown username with valid password
            - Valid username with empty password
            - Empty username with any password

        Expected Result:
            Displayed error message matches error_message exactly.
        ","502","test_login_validation_for_invalid_credentials[standard_user1-secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests","2026-09-22","passed","2026-09-22","TestLogin","test_login","",""
